X1 X2 X3 X4 X5 X6 X7 X8
90432 52455 101091 19272 82.000 16.100 197435 0.172
4903 1973 2035 10313 34.200 7.100 592077 0.003
6735 21139 3767 1780 36.100 8.200 726396 0.003
49454 36241 81557 22504 98.100 25.900 348226 0.985
139190 203505 215898 10609 93.200 12.600 139572 0.628
12215 16219 10351 6328 62.500 8.700 145818 0.066
2372 6572 8103 12329 184.400 22.200 20921 0.152
11062 23078 54935 23804 370.400 41.000 65486 0.263
17111 23907 52108 21796 221.500 21.500 63806 0.276
1206 3930 6126 15586 330.400 29.500 1840 0.437
2150 5704 6200 10870 184.200 12.000 8913 0.274
5251 6155 10383 16875 146.400 27.500 78796 0.151
14341 13203 19396 14691 94.600 17.800 6354 1.574
